player,snake_name,player_id,dob,height,weight,college
Shekinna Stricklen,shekinna-stricklen,203015,1990-07-30,6-2,230,Tennessee/USA
Carolyn Swords,carolyn-swords,202670,1989-07-19,6-6,215,Boston College/USA
Brittney Sykes,brittney-sykes,1628279,1994-02-07,5-9,154,Syracuse/USA
Diana Taurasi,diana-taurasi,100940,1982-06-11,6-0,163,Connecticut/USA
Alyssa Thomas,alyssa-thomas,203826,1992-04-12,6-2,185,Maryland/USA
Jasmine Thomas,jasmine-thomas,202662,1989-09-30,5-9,143,Duke/USA
Kayla Thornton,kayla-thornton,203866,1992-10-20,6-1,190,Texas-El Paso/USA
Morgan Tuck,morgan-tuck,1627670,1994-04-30,6-2,207,Connecticut/USA
Brianna Turner,brianna-turner,1629488,1996-07-05,6-3,170,Notre Dame/USA
Courtney Vandersloot,courtney-vandersloot,202664,1989-02-08,5-8,145,Gonzaga/USA
Kia Vaughn,kia-vaughn,201913,1987-01-24,6-4,205,Rutgers/USA
Victoria Vivians,victoria-vivians,1628927,1994-11-17,6-1,183,Mississippi State/USA
Megan Walker,megan-walker,1630136,1998-11-23,6-1,175,Connecticut/USA
Shatori Walker-Kimbrough,shatori-walker-kimbrough,1628278,1995-05-18,5-9,140,Maryland/USA
Avery Warley-Talbert,avery-warley-talbert,203069,1987-05-17,6-3,202,Liberty/USA
Sami Whitcomb,sami-whitcomb,1628244,1988-07-20,5-10,145,Washington/USA
Sydney Wiese,sydney-wiese,1628282,1995-06-16,6-0,165,Oregon State/USA
Courtney Williams,courtney-williams,1627675,1994-05-11,5-8,133,South Florida/USA
Elizabeth Williams,elizabeth-williams,204322,1993-06-23,6-3,200,Duke/USA
Gabby Williams,gabby-williams,1628931,1996-09-09,5-11,172,Connecticut/USA
Riquna Williams,riquna-williams,203029,1990-05-28,5-7,165,Miami/USA
Jocelyn Willoughby,jocelyn-willoughby,1630139,1998-03-25,6-0,180,Virginia/USA
A'ja Wilson,aja-wilson,1628932,1996-08-08,6-4,195,South Carolina/USA
Jackie Young,jackie-young,1629498,1997-09-16,6-0,165,Notre Dame/USA
Amanda Zahui B.,amanda-zahui-b.,204320,1993-09-08,6-5,184,Minnesota/Sweden
